y1,x1_COBYQA,x1_COBYLA,y2,x2_COBYQA,x2_COBYLA,y3,x3_COBYQA,x3_COBYLA,y4,x4_COBYQA,x4_COBYLA,y5,x5_COBYQA,x5_COBYLA,y6,x6_COBYQA,x6_COBYLA,y7,x7_COBYQA,x7_COBYLA,y8,x8_COBYQA,x8_COBYLA,y9,x9_COBYQA,x9_COBYLA
0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0
0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0
0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0
0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0,0.029850746268656716,1.0,1.0
0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0
0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0,0.04477611940298507,1.0,1.0
0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0
0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0,0.05970149253731343,1.0,1.0
0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0
0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0,0.07462686567164178,1.0,1.0
0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0
0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0,0.08955223880597014,1.0,1.0
0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0
0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0,0.1044776119402985,1.0,1.0
